month,infections,time,level,trend,trendsq
2/29/2020,1,1,0,0,0
3/31/2020,1229,2,0,0,0
4/30/2020,2433,3,0,0,0
5/31/2020,2967,4,0,0,0
6/30/2020,3546,5,0,0,0
7/31/2020,5095,6,1,1,1
8/31/2020,6309,7,1,2,4
9/30/2020,7144,8,1,3,9
10/31/2020,9191,9,1,4,16
11/30/2020,15057,10,1,5,25
12/31/2020,22393,11,1,6,36
1/31/2021,27744,12,1,7,49
2/28/2021,30208,13,1,8,64
3/31/2021,32093,14,1,9,81
4/30/2021,35943,15,1,10,100
5/31/2021,38873,16,1,11,121
6/30/2021,40232,17,1,12,144
7/31/2021,42759,18,1,13,169
8/31/2021,51116,19,1,14,196
9/30/2021,59052,20,1,15,225
10/31/2021,65719,21,1,16,256
